"AA174",    "A", "1111111", "735",                                      "RDU"   
"AA046",    "A", "1111111", "745",                                      "ORD"   
"AA108",    "A", "1111111", "1025",                                     "LAX"   
"AA090",    "A", "1111111", "755",                                      "ORD"   
"BA248",    "A", "1111111", "1120",                                     "GIG"   
"BA280F",   "A", "1111111", "1030",                                     "LAX"   
"BA192F",   "A", "1111111", "859",                                      "DFW"   
"BA1038",   "A", "0000010", "1120",                                     "PEK"   
"BA038",    "A", "1111101", "1125",                                     "PEK"   
"VS112",    "A", "1111111", "659",                                      "JFK"   
"DL058",    "A", "1111111", "628",                                      "BOS"   
"DL010",    "A", "1111111", "801",                                      "MSP"   
"BA034",    "A", "1111111", "1345",                                     "KUL"   
"UA931",    "A", "1111111", "740",                                      "ORD"   
"AA728",    "A", "1111111", "715",                                      "PHL"   
"AA730",    "A", "1111111", "805",                                      "CLT"   
"AA732",    "A", "1111111", "755",                                      "CLT"   
"AA736",    "A", "1111111", "725",                                      "PHL"   
"BA152",    "A", "1111111", "605",                                      "IKA"   
"SV117",    "A", "1011010", "655",                                      "RUH"   
"SV107",    "A", "0000100", "750",                                      "RUH"   
"SV107",    "A", "0000001", "735",                                      "RUH"   
"AA109",    "A", "0001000", "540",                                      "JFK"   
"BA072",    "A", "1111111", "740",                                      "AUH"   
"BA080",    "A", "1111111", "800",                                      "MCT"   
"BA176",    "A", "1111111", "710",                                      "JFK"   
"BA178",    "A", "1111111", "650",                                      "JFK"   
"BA184",    "A", "1111111", "655",                                      "EWR"   
"BA188",    "A", "1111111", "700",                                      "EWR"   
"BA206",    "A", "1111111", "815",                                      "MIA"   
"BA208",    "A", "1111111", "815",                                      "MIA"   
"BA212",    "A", "1111111", "635",                                      "BOS"   
"BA214",    "A", "1111111", "615",                                      "BOS"   
"BA238",    "A", "1111111", "620",                                      "BOS"   
"BA268",    "A", "1111111", "1015",                                     "LAX"   
"BA282",    "A", "1111111", "1040",                                     "LAX"   
"BA284",    "A", "1111111", "1035",                                     "SFO"   
"BA286",    "A", "1111111", "1010",                                     "SFO"   
"BA288",    "A", "1111111", "955",                                      "PHX"   
"BA296",    "A", "1111111", "735",                                      "ORD"   
"BA663",    "A", "1111111", "510",                                      "LCA"   
"EK001",    "A", "1111111", "740",                                      "DXB"   
"EK003",    "A", "1111111", "725",                                      "DXB"   
"EK005",    "A", "1111111", "730",                                      "DXB"   
"FI450",    "A", "1111111", "310",                                      "KEF"   
"HY201",    "A", "0100101", "725",                                      "TAS"   
"KU101",    "A", "0101010", "630",                                      "KWI"   
"KU103",    "A", "1010101", "700",                                      "KWI"   
"KU101",    "D", "0101010", "800",                                      "JFK"   
"LY315",    "A", "1111101", "520",                                      "TLV"   
"MH002",    "A", "1111111", "1405",                                     "KUL"   
"MH004",    "A", "1111111", "1405",                                     "KUL"   
"MK042",    "A", "0000101", "1215",                                     "MRU"   
"MK046",    "A", "1000010", "1215",                                     "MRU"   
"MS761",    "A", "1000000", "535",                                      "LXR"   
"MS777",    "A", "0111011", "505",                                      "CAI"   
"MS779",    "A", "1000100", "505",                                      "CAI"   
"QR001",    "A", "1111111", "740",                                      "DOH"   
"CX255",    "A", "1111111", "1310",                                     "HKG"   
"CX253",    "A", "1111111", "1305",                                     "HKG"   
"CX257",    "A", "1111111", "1310",                                     "HKG"   
"GF007",    "A", "1111111", "645",                                      "BAH"   
"AC822",    "A", "1111111", "500",                                      "YYT"   
"RJ111",    "A", "1111111", "535",                                      "AMM"   
"SQ318",    "A", "1111111", "1325",                                     "SIN"   
"9W120",    "A", "1111111", "930",                                      "BOM"   
"SQ322",    "A", "1111111", "1410",                                     "SIN"   
"BR067",    "A", "1111111", "1650",                                     "TPE"   
"9W118",    "A", "1111111", "930",                                      "BOM"   
"BA879",    "A", "1010111", "330",                                      "LED"   
"DL018",    "A", "1111111", "955",                                      "SLC"   
"SU263",    "A", "1000010", "1605",                                     "NRT"   
"BA262",    "A", "1111111", "645",                                      "RUH"   
"JD431",    "A", "1111111", "1245",                                     "TAO"   
"T5427",    "A", "0000010", "740",                                      "ASB"   
"TG910",    "A", "1111111", "1205",                                     "BKK"   
"EY011",    "A", "1111111", "740",                                      "AUH"   
"TK1979",   "A", "1111111", "400",                                      "IST"   
