"Q6",  "VOC",                                                                   
"FO",  "FBZ",                                                                   
"",    "KAB",                                                                   
"LQ",  "MKR",                                                                   
"",    "MRS",                                                                   
"RW",  "RYL",                                                                   
"",    "VAJ",                                                                   
"",    "APV",                                                                   
"",    "KUY",                                                                   
"IQ",  "QAZ",                                                                   
"GM",  "GSW",                                                                   
"AN",  "",                                                                      
"ZB",  "",                                                                      
"VO",  "VGR",                                                                   
"JO",  "JNK",                                                                   
"",    "AER",                                                                   
"",    "PVN",                                                                   
"",    "KLD",                                                                   
"",    "CTJ",                                                                   
"9A",  "",                                                                      
"",    "NZM",                                                                   
"",    "VEC",                                                                   
"",    "MXE",                                                                   
"",    "999",                                                                   
"",    "999",                                                                   
"",    "VLV",                                                                   
"",    "UWJ",                                                                   
"",    "EZR",                                                                   
"6O",  "OBS",                                                                   
"XE",  "JSX",                                                                   
"",    "JSN",                                                                   
"",    "SJM",                                                                   
"",    "JBE",                                                                   
"O4",  "OTF",                                                                   
"",    "CCQ",                                                                   
"",    "WSN",                                                                   
"",    "EJA",                                                                   
"RH",  "HKC",                                                                   
"BN",  "BGN",                                                                   
"CQ",  "",                                                                      
"",    "TDA",                                                                   
"VZ",  "QCL",                                                                   
"",    "OMN",                                                                   
"TI",  "TWI",                                                                   
"5C",  "ICL",                                                                   
"",    "TMG",                                                                   
"",    "XLR",                                                                   
"",    "BOL",                                                                   
"",    "BDA",                                                                   
"",    "PSV",                                                                   
"",    "TNO",                                                                   
"",    "SRU",                                                                   
"VA",  "",                                                                      
"",    "WRT",                                                                   
"",    "BOX",                                                                   
"HT",  "HAT",                                                                   
"",    "CHF",                                                                   
"",    "RIH",                                                                   
"",    "TJJ",                                                                   
"W9",  "WUK",                                                                   
"PQ",  "SQP",                                                                   
"4W",  "AJK",                                                                   
"C8",  "",                                                                      
"",    "JTL",                                                                   
"",    "MNT",                                                                   
"3G",  "CXM",                                                                   
"",    "BRG",                                                                   
"",    "FPK",                                                                   
"",    "OTT",                                                                   
"",    "TLT",                                                                   
"SP",  "SOP",                                                                   
"",    "GEC",                                                                   
"WA",  "KLC",                                                                   
"",    "999",                                                                   
"PV",  "SBU",                                                                   
"",    "JLJ",                                                                   
"V8",  "VAS",                                                                   
"",    "JIV",                                                                   
"",    "EES",                                                                   
"",    "FDK",                                                                   
"",    "UCC",                                                                   
"",    "XOJ",                                                                   
"",    "ZMA",                                                                   
"",    "BOC",                                                                   
"",    "GDS",                                                                   
"3Z",  "TVP",                                                                   
"",    "ERY",                                                                   
"",    "BTP",                                                                   
"DU",  "LIZ",                                                                   
"",    "GGT",                                                                   
"",    "LAS",                                                                   
"",    "UNA",                                                                   
"",    "SYB",                                                                   
"",    "NXU",                                                                   
"",    "JCL",                                                                   
"",    "SXY",                                                                   
"",    "ICU",                                                                   
"LB",  "BVL",                                                                   
"",    "KTO",                                                                   
"2E",  "",                                                                      
"",    "HTY",                                                                   
"",    "BKM",                                                                   
"",    "JBC",                                                                   
"",    "RKS",                                                                   
"",    "KZN",                                                                   
"",    "LIC",                                                                   
"RK",  "RUK",                                                                   
"OG",  "SDG",                                                                   
"",    "VRH",                                                                   
"WJ",  "JES",                                                                   
"4U",  "GWI",                                                                   
"V4",  "VES",                                                                   
"",    "OAE",                                                                   
"",    "FJA",                                                                   
"5S",  "GAK",                                                                   
"",    "KRS",                                                                   
"",    "ARU",                                                                   
"",    "TVJ",                                                                   
"",    "UDN",                                                                   
"T7",  "TJT",                                                                   
"2L",  "OAW",                                                                   
"",    "SPA",                                                                   
"",    "VOZ",                                                                   
"UJ",  "LMU",                                                                   
"",    "WAV",                                                                   
"BZ",  "BBG",                                                                   
"",    "999",                                                                   
"6R",  "DRU",                                                                   
"",    "BBY",                                                                   
"",    "TIG",                                                                   
"",    "TPJ",                                                                   
"",    "IHC",                                                                   
"",    "SFE",                                                                   
"",    "KPR",                                                                   
"S8",  "AHW",                                                                   
"",    "TKJ",                                                                   
"",    "JAS",                                                                   
"2F",  "OWT",                                                                   
"",    "CTL",                                                                   
"",    "COL",                                                                   
"",    "EPJ",                                                                   
"",    "JFA",                                                                   
"",    "NHX",                                                                   
"",    "SRM",                                                                   
"DL",  "DAL",                                                                   
"",    "EWW",                                                                   
"",    "BAH",                                                                   
"CU",  "CUB",                                                                   
"",    "ASU",                                                                   
"",    "PUA",                                                                   
"",    "BIH",                                                                   
"",    "BMA",                                                                   
"",    "BMI",                                                                   
"",    "CBR",                                                                   
"CF",  "CIL",                                                                   
"",    "SIM",                                                                   
"",    "SSP",                                                                   
"",    "SSW",                                                                   
"",    "CRN",                                                                   
"GF",  "GFA",                                                                   
"WY",  "OMA",                                                                   
"KB",  "DRK",                                                                   
"EK",  "UAE",                                                                   
"",    "APP",                                                                   
"OO",  "SKW",                                                                   
"",    "SMH",                                                                   
"LG",  "LGL",                                                                   
"IZ",  "AIZ",                                                                   
"",    "SKP",                                                                   
"GY",  "CGZ",                                                                   
"C0",  "VCY",                                                                   
"",    "SYV",                                                                   
"OP",  "DIG",                                                                   
"",    "CGF",                                                                   
"",    "PAF",                                                                   
"",    "AZF",                                                                   
"",    "HSI",                                                                   
"",    "RCX",                                                                   
"N4",  "NWS",                                                                   
"",    "EDO",                                                                   
"",    "EFG",                                                                   
"",    "INR",                                                                   
"EW",  "EWG",                                                                   
"QQ",  "UTY",                                                                   
"",    "CEG",                                                                   
"",    "XAM",                                                                   
"",    "RMA",                                                                   
"",    "RAX",                                                                   
"",    "SBR",                                                                   
"",    "FWL",                                                                   
"",    "SVX",                                                                   
"",    "SGY",                                                                   
"",    "TNT",                                                                   
"",    "BHR",                                                                   
"",    "BIG",                                                                   
"",    "BIR",                                                                   
"",    "DJA",                                                                   
"",    "SPU",                                                                   
"",    "NTR",                                                                   
"VS",  "VIR",                                                                   
"",    "ANB",                                                                   
"",    "DCV",                                                                   
"",    "UKA",                                                                   
"",    "DOC",                                                                   
"",    "LIQ",                                                                   
"",    "EEA",                                                                   
"",    "PTO",                                                                   
"",    "AIS",                                                                   
"",    "LSR",                                                                   
"",    "AVU",                                                                   
"",    "DEA",                                                                   
"",    "CVR",                                                                   
"",    "ERJ",                                                                   
"",    "GBR",                                                                   
"AE",  "MDA",                                                                   
"",    "CHI",                                                                   
"",    "ANH",                                                                   
"",    "APO",                                                                   
"",    "QAT",                                                                   
"",    "GSL",                                                                   
"",    "RAY",                                                                   
"",    "BLV",                                                                   
"",    "UMK",                                                                   
"",    "SBO",                                                                   
"",    "KSM",                                                                   
"A9",  "TGZ",                                                                   
"",    "PFA",                                                                   
"",    "NEN",                                                                   
"",    "JEX",                                                                   
"",    "FAR",                                                                   
"",    "CJG",                                                                   
"",    "AZB",                                                                   
"",    "CHW",                                                                   
"",    "TRN",                                                                   
